Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Mandarina,M_Arrayana,CPB4475,12,6,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,13,1,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,13,2,Verdadero,1,1,1,NA
Mandarina,M_Oneco,CPB4475,13,3,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,13,4,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,13,5,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,13,6,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,14,1,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,14,2,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,14,3,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,14,4,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,14,5,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,14,6,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,15,1,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,15,2,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,15,3,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,15,4,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,15,5,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,15,6,Verdadero,0,NA,0,NA
Limón,L_Pajarito,SxE,16,1,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,16,2,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,16,3,Verdadero,1,4,1,NA
Limón,L_Pajarito,SxE,16,4,Verdadero,1,5,1,NA
Limón,L_Pajarito,SxE,16,5,Verdadero,1,5,1,NA
Limón,L_Pajarito,SxE,16,6,Verdadero,1,2,1,NA
Limón,Eureka,SxE,17,1,Verdadero,1,3,1,NA
Limón,Eureka,SxE,17,2,Verdadero,1,3,1,NA
Limón,Eureka,SxE,17,3,Verdadero,1,3,1,NA
Limón,Eureka,SxE,17,4,Verdadero,1,5,1,NA
Limón,Eureka,SxE,17,5,Verdadero,1,3,1,NA
Limón,Eureka,SxE,17,6,Verdadero,1,2,1,NA
Limón,Perrine,SxE,18,1,Verdadero,1,1,1,NA
Limón,Perrine,SxE,18,2,Verdadero,1,1,1,NA
Limón,Perrine,SxE,18,3,Verdadero,1,2,1,NA
Limón,Perrine,SxE,18,4,Verdadero,1,1,1,NA
Limón,Perrine,SxE,18,5,Verdadero,1,2,1,NA
Limón,Perrine,SxE,18,6,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,19,1,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,19,2,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,19,3,Verdadero,1,2,1,NA
Limón,L_Pajarito,SxE,19,4,Verdadero,1,3,1,NA
Limón,L_Pajarito,SxE,19,5,Verdadero,1,1,1,NA
Limón,L_Pajarito,SxE,19,6,Verdadero,1,4,1,NA
Limón,L_Pajarito,CPB4475,20,1,Verdadero,1,3,1,NA
Limón,L_Pajarito,CPB4475,20,2,Verdadero,1,3,1,NA
Limón,L_Pajarito,CPB4475,20,3,Verdadero,1,5,1,NA
Limón,L_Pajarito,CPB4475,20,4,Verdadero,1,4,1,NA
Limón,L_Pajarito,CPB4475,20,5,Verdadero,1,4,1,NA
Limón,L_Pajarito,CPB4475,20,6,Verdadero,1,3,1,NA
Limón,Eureka,CPB4475,21,1,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,21,2,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,21,3,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,21,4,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,21,5,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,21,6,FALSO,NA,NA,NA,NA
Limón,Perrine,SxE,22,1,Verdadero,1,3,1,NA
Limón,Perrine,SxE,22,2,Verdadero,1,3,1,NA
Limón,Perrine,SxE,22,3,Verdadero,1,3,1,NA
Limón,Perrine,SxE,22,4,Verdadero,1,3,1,NA
Limón,Perrine,SxE,22,5,Verdadero,0,NA,0,NA
Limón,Perrine,SxE,22,6,Verdadero,1,0,0,NA
Limón,Perrine,CPB4475,23,1,Verdadero,1,2,1,NA
