Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Limón,Perrine,CPB4475,61,1,Verdadero,1,4,1,NA
Limón,Perrine,CPB4475,61,2,FALSO,NA,NA,NA,NA
Limón,Perrine,CPB4475,61,3,Verdadero,1,3,1,NA
Limón,Perrine,CPB4475,61,4,Verdadero,1,4,1,NA
Limón,Perrine,CPB4475,61,5,Verdadero,1,5,1,NA
Limón,Perrine,CPB4475,61,6,Verdadero,1,5,1,NA
Limón,L_Pajarito,CPB4475,62,1,Verdadero,1,5,1,NA
Limón,L_Pajarito,CPB4475,62,2,Verdadero,1,5,1,NA
Limón,L_Pajarito,CPB4475,62,3,Verdadero,1,5,1,NA
Limón,L_Pajarito,CPB4475,62,4,Verdadero,1,5,1,NA
Limón,L_Pajarito,CPB4475,62,5,Verdadero,1,4,1,NA
Limón,L_Pajarito,CPB4475,62,6,Verdadero,1,4,1,NA
Limón,Eureka,CPB4475,63,1,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,63,2,Verdadero,1,3,1,NA
Limón,Eureka,CPB4475,63,3,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,63,4,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,63,5,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,63,6,FALSO,NA,NA,NA,NA
Mandarina,Fairchild,CPB4475,64,1,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,64,2,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,64,3,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,64,4,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,64,5,Verdadero,0,NA,0,NA
Mandarina,Fairchild,CPB4475,64,6,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,65,1,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,65,2,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,65,3,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,65,4,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,65,5,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,65,6,FALSO,NA,NA,NA,NA
Mandarina,Fairchild,SxE,66,1,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,66,2,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,66,3,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,66,4,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,66,5,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,66,6,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,67,1,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,67,2,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,67,3,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,67,4,FALSO,NA,NA,NA,NA
Mandarina,OwariSatsuma,SxE,67,5,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,SxE,67,6,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,68,1,Verdadero,1,1,1,NA
Mandarina,M_Arrayana,SxE,68,2,Verdadero,1,1,1,NA
Mandarina,M_Arrayana,SxE,68,3,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,68,4,Verdadero,1,1,1,NA
Mandarina,M_Arrayana,SxE,68,5,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,68,6,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,69,1,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,69,2,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,69,3,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,69,4,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,69,5,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,69,6,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,70,1,Verdadero,1,1,1,NA
Naranja,ParsonB,SxE,70,2,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,70,3,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,70,4,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,70,5,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,70,6,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,71,1,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,71,2,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,71,3,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,71,4,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,71,5,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,71,6,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,72,1,Verdadero,1,2,1,NA
Naranja,FrostVal,SxE,72,2,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,72,3,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,72,4,Verdadero,1,1,1,NA
Naranja,FrostVal,SxE,72,5,Verdadero,1,1,1,NA
Naranja,FrostVal,SxE,72,6,Verdadero,1,0,0,NA
Naranja,PeraDelRio,SxE,73,1,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,73,2,Verdadero,1,1,1,NA
Naranja,PeraDelRio,SxE,73,3,Verdadero,1,1,1,NA
Naranja,PeraDelRio,SxE,73,4,Verdadero,1,1,1,NA
Naranja,PeraDelRio,SxE,73,5,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,73,6,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,74,1,Verdadero,1,1,1,NA
Naranja,Hamlin,SxE,74,2,Verdadero,1,1,1,NA
Naranja,Hamlin,SxE,74,3,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,74,4,Verdadero,1,1,1,NA
Naranja,Hamlin,SxE,74,5,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,74,6,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,75,1,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,75,2,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,75,3,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,75,4,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,75,5,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,75,6,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,76,1,Verdadero,1,1,1,NA
Naranja,GarciaVal,SxE,76,2,Verdadero,1,1,1,NA
Naranja,GarciaVal,SxE,76,3,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,76,4,Verdadero,1,1,1,NA
Naranja,GarciaVal,SxE,76,5,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,76,6,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,77,1,Verdadero,1,1,1,NA
Naranja,Sweety_O,SxE,77,2,Verdadero,1,2,1,NA
Naranja,Sweety_O,SxE,77,3,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,77,4,Verdadero,1,2,1,NA
Naranja,Sweety_O,SxE,77,5,Verdadero,1,1,1,NA
Naranja,Sweety_O,SxE,77,6,Verdadero,1,1,1,NA
Naranja,Lannelate,SxE,78,1,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,78,2,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,78,3,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,78,4,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,78,5,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,78,6,Verdadero,0,NA,0,NA
Naranja,Sweety_O,CPB4475,79,1,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,79,2,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,79,3,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,79,4,Verdadero,1,4,1,NA
Naranja,Sweety_O,CPB4475,79,5,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,79,6,FALSO,NA,NA,NA,NA
Naranja,V_Washington,CPB4475,80,1,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,80,2,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,80,3,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,80,4,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,80,5,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,80,6,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,81,1,Verdadero,1,1,1,NA
Naranja,FrostVal,CPB4475,81,2,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,81,3,Verdadero,1,1,1,NA
Naranja,FrostVal,CPB4475,81,4,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,81,5,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,81,6,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,82,1,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,82,2,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,82,3,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,82,4,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,82,5,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,82,6,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,83,1,Verdadero,1,0,0,NA
Naranja,Lannelate,CPB4475,83,2,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,83,3,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,83,4,Verdadero,1,0,0,NA
Naranja,Lannelate,CPB4475,83,5,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,83,6,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,84,1,Verdadero,1,0,0,NA
Naranja,Hamlin,CPB4475,84,2,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,84,3,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,84,4,Verdadero,1,0,0,NA
Naranja,Hamlin,CPB4475,84,5,Verdadero,1,2,1,NA
Naranja,Hamlin,CPB4475,84,6,Verdadero,1,2,1,NA
Naranja,PeraDelRio,CPB4475,85,1,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,85,2,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,85,3,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,85,4,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,85,5,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,85,6,FALSO,NA,NA,NA,NA
Naranja,ParsonB,CPB4475,86,1,Verdadero,1,2,1,NA
Naranja,ParsonB,CPB4475,86,2,Verdadero,1,0,0,NA
Naranja,ParsonB,CPB4475,86,3,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,86,4,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,86,5,Verdadero,0,NA,0,NA
Naranja,ParsonB,CPB4475,86,6,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,87,1,FALSO,NA,NA,NA,NA
Naranja,Pinneapple,CPB4475,87,2,Verdadero,1,1,1,NA
Naranja,Pinneapple,CPB4475,87,3,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,87,4,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,87,5,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,87,6,Verdadero,1,1,1,NA
Naranja,Pinneapple,SxE,88,1,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,88,2,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,88,3,Verdadero,0,NA,0,NA
Naranja,Pinneapple,SxE,88,4,Verdadero,1,1,1,NA
Naranja,Pinneapple,SxE,88,5,Verdadero,1,1,1,NA
Naranja,Pinneapple,SxE,88,6,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,89,1,FALSO,NA,NA,NA,NA
Naranja,ParsonB,SxE,89,2,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,89,3,Verdadero,0,NA,0,NA
Naranja,ParsonB,SxE,89,4,Verdadero,1,0,0,NA
Naranja,ParsonB,SxE,89,5,Verdadero,1,0,0,NA
Naranja,ParsonB,SxE,89,6,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,90,1,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,90,2,Verdadero,1,0,0,NA
Naranja,PeraDelRio,SxE,90,3,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,90,4,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,90,5,Verdadero,0,NA,0,NA
Naranja,PeraDelRio,SxE,90,6,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,91,1,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,91,2,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,91,3,Verdadero,0,NA,0,NA
Naranja,Hamlin,SxE,91,4,Verdadero,1,0,0,NA
Naranja,Hamlin,SxE,91,5,Verdadero,1,1,1,NA
Naranja,Hamlin,SxE,91,6,Verdadero,1,0,0,NA
Naranja,Lannelate,SxE,92,1,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,92,2,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,92,3,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,92,4,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,92,5,Verdadero,0,NA,0,NA
Naranja,Lannelate,SxE,92,6,Verdadero,1,0,0,NA
Naranja,GarciaVal,SxE,93,1,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,93,2,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,93,3,Verdadero,1,1,1,NA
Naranja,GarciaVal,SxE,93,4,Verdadero,1,1,1,NA
Naranja,GarciaVal,SxE,93,5,Verdadero,0,NA,0,NA
Naranja,GarciaVal,SxE,93,6,Verdadero,1,0,0,NA
Naranja,FrostVal,SxE,94,1,Verdadero,1,1,1,NA
Naranja,FrostVal,SxE,94,2,Verdadero,1,1,1,NA
Naranja,FrostVal,SxE,94,3,Verdadero,1,1,1,NA
Naranja,FrostVal,SxE,94,4,Verdadero,0,NA,0,NA
Naranja,FrostVal,SxE,94,5,Verdadero,1,1,1,NA
Naranja,FrostVal,SxE,94,6,Verdadero,1,1,1,NA
Naranja,V_Washington,SxE,95,1,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,95,2,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,95,3,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,95,4,Verdadero,1,1,1,NA
Naranja,V_Washington,SxE,95,5,Verdadero,0,NA,0,NA
Naranja,V_Washington,SxE,95,6,Verdadero,0,NA,0,NA
Naranja,Sweety_O,SxE,96,1,Verdadero,1,2,1,NA
Naranja,Sweety_O,SxE,96,2,Verdadero,1,2,1,NA
Naranja,Sweety_O,SxE,96,3,Verdadero,1,1,1,NA
Naranja,Sweety_O,SxE,96,4,Verdadero,1,0,0,NA
Naranja,Sweety_O,SxE,96,5,Verdadero,1,4,1,NA
Naranja,Sweety_O,SxE,96,6,Verdadero,1,4,1,NA
